Test_code,Description,Description_orig,Read_code,Sample_type,Units,dtUpdated,recordCount_ML,recordCount_preML,dtRecordCount,dtCreated,dtLastTest_ML,commonCode,commonCodeStatus,hb_extract,maxResult,minResult,frequency
0014,NULL,NULL,NULL,NULL,NULL,2012-03-02,13,NULL,2012-03-07,NULL,2011-06-07,NULL,NULL,T,NULL,NULL,13
0043,NULL,NULL,NULL,NULL,NULL,2012-03-02,37,NULL,2012-03-07,NULL,2011-05-31,NULL,NULL,T,NULL,NULL,37
0045,NULL,NULL,NULL,NULL,NULL,2012-03-02,144,NULL,2013-03-19,NULL,2011-06-08,NULL,NULL,T,NULL,NULL,144
0023,NULL,NULL,NULL,NULL,NULL,2012-03-02,56,NULL,2013-03-19,NULL,2011-06-06,NULL,NULL,T,NULL,NULL,56
0038,NULL,NULL,NULL,NULL,NULL,2012-03-02,2,NULL,2012-03-07,NULL,2011-05-15,NULL,NULL,T,NULL,NULL,2
0053,NULL,NULL,NULL,NULL,NULL,2012-03-02,2,NULL,2013-03-19,NULL,2011-05-05,NULL,NULL,T,NULL,NULL,2
0054,NULL,NULL,NULL,NULL,NULL,2012-03-02,89,NULL,2012-03-07,NULL,2011-06-07,NULL,NULL,T,NULL,NULL,89
0062,NULL,NULL,NULL,NULL,NULL,2012-03-02,4,NULL,2012-03-07,NULL,2011-04-19,NULL,NULL,T,NULL,NULL,4
%FAT,% Fat,% Fat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,6
0013,NULL,NULL,NULL,NULL,NULL,2012-03-02,28,NULL,2012-03-07,NULL,2011-06-07,NULL,NULL,T,NULL,NULL,28
0029,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2010-12-17,NULL,NULL,T,NULL,NULL,1
0032,NULL,NULL,NULL,NULL,NULL,2012-03-02,33,NULL,2013-03-19,NULL,2011-05-30,NULL,NULL,T,NULL,NULL,33
0036,NULL,NULL,NULL,NULL,NULL,2012-03-02,3,NULL,2012-03-07,NULL,2011-03-17,NULL,NULL,T,NULL,NULL,3
0040,NULL,NULL,NULL,NULL,NULL,2012-03-02,227,NULL,2013-03-19,NULL,2011-06-08,NULL,NULL,T,NULL,NULL,227
0042,NULL,NULL,NULL,NULL,NULL,2012-03-02,17,NULL,2012-03-07,NULL,2011-06-02,NULL,NULL,T,NULL,NULL,17
%O2,ARTERIAL % (CODE 625),ARTERIAL % (CODE 625),NULL,NULL,NULL,2012-03-02,NULL,1499,2012-03-02,NULL,NULL,NULL,NULL,T,99.9,0,1499
0001,NULL,NULL,NULL,NULL,NULL,2012-03-02,38,NULL,2012-03-07,NULL,2011-05-24,NULL,NULL,T,NULL,NULL,38
0021,NULL,NULL,NULL,NULL,NULL,2012-03-02,7,NULL,2012-03-07,NULL,2011-05-19,NULL,NULL,T,NULL,NULL,7
0039,NULL,NULL,NULL,NULL,NULL,2012-03-02,4,NULL,2012-03-07,NULL,2011-06-06,NULL,NULL,T,NULL,NULL,4
0052,NULL,NULL,NULL,NULL,NULL,2012-03-02,78,NULL,2013-03-19,NULL,2011-06-07,NULL,NULL,T,NULL,NULL,78
